,zip_code,median_income
18221,44519,69044
18239,44583,69220
18262,43036,47382
18318,44666,43701
18325,43080,43764
18329,44712,43915
18337,43988,65280
18343,45300,65360
18346,43723,65656
18356,45400,65535
18362,43618,65611
18365,43785,65230
18377,45625,65772
18378,44906,38258
18379,44417,38260
18383,43516,38339
18391,44266,55753
18399,43125,55931
18407,45577,69346
18410,44070,69343
18430,43700,2905
18442,45628,2744
18448,45039,56387
18455,45417,56287
18494,44167,43837
18501,44412,43749
18502,44789,43912
18511,44125,38037
18514,44338,38052
18557,45064,33592
18562,45242,29009
18566,43377,29102
18575,43998,29210
18582,44444,29436
18625,44615,33880
18626,44281,33881
18652,43594,41772
18683,44583,45352
18702,45673,45684
18715,44865,45223
18745,43546,24380
18767,43390,41071
18797,43963,73141
18799,45625,73434
18807,43000,82512
18810,44167,82649
18837,45656,29374
18850,43932,44710
18869,44876,34748
18885,44703,34788
18893,43750,37391
18905,44384,76106
18929,44375,76710
18977,44625,5732
19010,44828,75090
19012,43736,75110
19013,43471,75140
19066,44661,28636
19093,45903,40337
19112,44898,26155
19139,44873,46227
19192,43906,59016
19208,43242,59872
19244,45286,45678
19246,44707,22844
19303,43750,67631
19314,43681,73021
19321,45938,73662
19323,45000,73734
19337,44728,83873
19347,45818,83647
19374,43053,40387
19377,43750,40460
19379,46000,40806
19442,43333,57340
19444,44615,57337
19472,45000,57531
19482,45221,26722
19486,45203,26034
19491,43253,26201
19494,44063,26292
19499,43615,26419
19523,45022,26836
19526,44554,26537
19605,43487,96057
19611,44449,96713
19637,44438,96769
19661,44500,84512
19695,43889,93206
19709,45486,28713
19712,45698,28783
19718,43029,28578
19727,45682,28054
19746,44267,28006
19789,43365,7939
19817,44688,58282
19880,44219,38341
19888,43839,38485
19892,43421,38575
19893,44231,38625
19910,45498,38967
19946,44525,2723
19959,43088,47865
19983,43789,47369
20011,45750,29824
20066,43546,14897
20068,45912,14904
20086,43317,14210
20159,44167,56680
20177,45775,41250
20187,43098,52659
20233,45640,95365
20243,45417,95462
20269,44991,74128
20272,44097,74363
20283,44500,41839
20286,45015,41014
20293,43235,41622
20325,43295,26436
20341,45625,29003
20343,45156,29051
20368,43149,29544
20380,43023,29801
20433,44448,29620
20436,45685,29678
20437,43268,29706
20466,45499,46808
20486,43309,46938
20512,43816,75232
20562,44328,32696
20577,44648,32960
20591,45769,18218
20599,44776,18848
20663,43438,87745
20685,45938,49736
20689,45571,49656
20695,44375,49027
20709,44385,49252
20737,43531,45772
20770,43188,16214
20772,44038,16260
20775,45270,16353
20776,45717,16407
20784,45395,16650
20791,43125,30535
20801,45095,30344
20848,44794,83330
20866,44219,83321
20874,44686,41701
20892,43125,81429
20923,44803,70357
20932,43570,70084
20950,45729,70431
20979,44833,78391
20996,43691,31063
21008,43361,31503
21080,45625,56237
21097,44375,56654
21098,45714,56657
21122,45809,56369
21131,44167,96033
21132,43750,96034
21153,43438,47336
21156,45504,47373
