,Total,Date,Year,Gender,Domain,Title,MatchID,Name,Score
229, Little Miami 1116,2013-12-11,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68976, Little Miami,1116
230,Loveland 2204,2013-12-12,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,69907,Loveland,2204
231, Anderson 1859,2013-12-12,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,69907, Anderson,1859
232,Lebanon 2512,2013-12-12,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68977,Lebanon,2512
233, Kings 1804,2013-12-12,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68977, Kings,1804
234,Glen Este 2540,2013-12-16,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,67252,Glen Este,2540
235, Turpin 2084,2013-12-16,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,67252, Turpin,2084
236,Loveland 2257,2013-12-16,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68955,Loveland,2257
237, Withrow 1720,2013-12-16,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68955, Withrow,1720
238,Milford 2082,2013-12-17,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,69910,Milford,2082
239, Anderson 1870,2013-12-17,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,69910, Anderson,1870
240,Glen Este 2280,2013-12-17,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,67253,Glen Este,2280
241, Turpin 2030,2013-12-17,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,67253, Turpin,2030
242,Walnut Hills 1810,2013-12-17,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68978,Walnut Hills,1810
243, Kings 1801,2013-12-17,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68978, Kings,1801
244,Fairfield 2273,2013-12-17,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68958,Fairfield,2273
245, Loveland 2196,2013-12-17,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68958, Loveland,2196
246,Princeton 1957,2013-12-18,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68446,Princeton,1957
247, Turpin 1954,2013-12-18,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68446, Turpin,1954
248,Kings 1981,2013-12-18,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68979,Kings,1981
249, Walnut Hills 1894,2013-12-18,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68979, Walnut Hills,1894
250,Milford 2089,2013-12-19,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,71150,Milford,2089
251, Anderson 1825,2013-12-19,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,71150, Anderson,1825
252,Glen Este 2560,2013-12-19,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,67254,Glen Este,2560
253, Seton 2089,2013-12-19,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,67254, Seton,2089
254,Turpin 2118,2014-01-07,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,69913,Turpin,2118
255, Anderson 1928,2014-01-07,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,69913, Anderson,1928
256,Glen Este 2476,2014-01-08,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,71340,Glen Este,2476
257, Walnut Hills 1854,2014-01-08,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,71340, Walnut Hills,1854
258,Glen Este 2562,2014-01-09,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,70976,Glen Este,2562
259, Kings 1673,2014-01-09,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,70976, Kings,1673
260,Loveland 2185,2014-01-09,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,67248,Loveland,2185
261, Milford 2105,2014-01-09,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,67248, Milford,2105
262,Loveland 2146,2014-01-13,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68451,Loveland,2146
263, Turpin 2054,2014-01-13,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68451, Turpin,2054
264,Glen Este 2359,2014-01-13,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,67255,Glen Este,2359
265, Walnut Hills 1855,2014-01-13,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,67255, Walnut Hills,1855
266,Loveland 2115,2014-01-14,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68967,Loveland,2115
267, Deer Park 1713,2014-01-14,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68967, Deer Park,1713
268,Milford 2055,2014-01-14,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68982,Milford,2055
269, Kings 1959,2014-01-14,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68982, Kings,1959
270,Anderson 1766,2014-01-14,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,69915,Anderson,1766
271, Walnut Hills 1704,2014-01-14,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,69915, Walnut Hills,1704
272,Anderson 1898,2014-01-15,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,69916,Anderson,1898
273, Walnut Hills 1813,2014-01-15,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,69916, Walnut Hills,1813
274,Amelia 1956,2014-01-15,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,69131,Amelia,1956
275, Milford 1893,2014-01-15,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,69131, Milford,1893
276,Loveland 2211,2014-01-16,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68452,Loveland,2211
277, Turpin 1897,2014-01-16,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68452, Turpin,1897
278,Milford 1941,2014-01-16,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68983,Milford,1941
279, Kings 1803,2014-01-16,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68983, Kings,1803
280,Loveland 2094,2014-01-22,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68683,Loveland,2094
281, Walnut Hills 1634,2014-01-22,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68683, Walnut Hills,1634
282,Anderson 1839,2014-01-22,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,71453,Anderson,1839
283, Withrow 1426,2014-01-22,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,71453, Withrow,1426
284,Glen Este 2546,2014-01-22,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,67260,Glen Este,2546
285, Wilmington 1565,2014-01-22,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,67260, Wilmington,1565
286,Loveland 2239,2014-01-23,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68684,Loveland,2239
287, Walnut Hills 1890,2014-01-23,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68684, Walnut Hills,1890
288,Turpin 2268,2014-01-23,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,71332,Turpin,2268
289, Anderson 1873,2014-01-23,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,71332, Anderson,1873
290,Goshen 1948,2014-01-23,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68985,Goshen,1948
291, Kings 1894,2014-01-23,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68985, Kings,1894
292,Glen Este 2483,2014-01-27,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,67261,Glen Este,2483
293, Milford 2178,2014-01-27,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,67261, Milford,2178
294,Turpin 2042,2014-01-27,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68454,Turpin,2042
295, Kings 1957,2014-01-27,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68454, Kings,1957
296,Kings 2049,2014-01-28,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68455,Kings,2049
297, Turpin 1830,2014-01-28,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68455, Turpin,1830
298,Glen Este 2587,2014-01-28,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,67262,Glen Este,2587
299, Mason 2217,2014-01-28,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,67262, Mason,2217
300,Fairfield 2461,2014-01-30,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68456,Fairfield,2461
301, Turpin 2161,2014-01-30,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68456, Turpin,2161
302,Glen Este 2444,2014-01-30,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,67263,Glen Este,2444
303, Milford 1917,2014-01-30,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,67263, Milford,1917
304,Goshen 1950,2014-02-03,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68457,Goshen,1950
305, Turpin 1934,2014-02-03,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68457, Turpin,1934
306,Glen Este 2388,2014-02-03,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,67264,Glen Este,2388
307, Northwest 2359,2014-02-03,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,67264, Northwest,2359
308,Turpin 2196,2014-02-05,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68458,Turpin,2196
309, St. Ursula 2136,2014-02-05,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68458, St. Ursula,2136
310,Goshen 1861,2014-02-06,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,71710,Goshen,1861
311, Kings 1798,2014-02-06,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,71710, Kings,1798
312,Mercy 2564,2014-02-06,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,67266,Mercy,2564
313, Glen Este 2409,2014-02-06,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,67266, Glen Este,2409
314,Loveland 2323,2014-02-06,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68970,Loveland,2323
315, Harrison 2110,2014-02-06,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68970, Harrison,2110
316,Walnut Hills 1886,2014-02-10,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68689,Walnut Hills,1886
317, Summit Country Day 1756,2014-02-10,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68689, Summit Country Day,1756
318,Walnut Hills 1863,2014-02-11,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68685,Walnut Hills,1863
319, Lakota East 1813,2014-02-11,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68685, Lakota East,1813
320,Milford 2100,2014-02-11,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,69129,Milford,2100
321, Sycamore 1840,2014-02-11,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,69129, Sycamore,1840
322,Mason 2376,2014-02-11,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68988,Mason,2376
323, Kings 1971,2014-02-11,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68988, Kings,1971
324,Mount Notre Dame 1974,2014-02-12,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,71768,Mount Notre Dame,1974
325, Walnut Hills 1752,2014-02-12,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,71768, Walnut Hills,1752
326,Loveland 2045,2014-02-12,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,71729,Loveland,2045
327, Milford 1959,2014-02-12,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,71729, Milford,1959
328,Glen Este 2589,2014-02-12,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,71770,Glen Este,2589
329, West Carrollton 1468,2014-02-12,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,71770, West Carrollton,1468
330,Lakota East 1909,2014-02-12,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,71763,Lakota East,1909
331, Kings 1870,2014-02-12,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,71763, Kings,1870
332,Turpin 2129,2014-02-12,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,71540,Turpin,2129
333, Hamilton 2101,2014-02-12,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,71540, Hamilton,2101
334,Milford 2195,2014-02-13,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,69130,Milford,2195
335, Mount Notre Dame 1993,2014-02-13,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,69130, Mount Notre Dame,1993
336,Glen Este 2387,2014-02-13,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,71775,Glen Este,2387
337, Amelia 1976,2014-02-13,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,71775, Amelia,1976
338,Glen Este 2292,2014-11-21,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,78068,Glen Este,2292
339, Amelia 2058,2014-11-21,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,78068, Amelia,2058
340,Amelia 2123,2014-11-24,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,79880,Amelia,2123
341, Anderson 1663,2014-11-24,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,79880, Anderson,1663
342,Milford 1819,2014-11-24,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,78069,Milford,1819
343, Turpin 1748,2014-11-24,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,78069, Turpin,1748
344,St. Ursula 1964,2014-11-25,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,78071,St. Ursula,1964
345, Turpin 1829,2014-11-25,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,78071, Turpin,1829
346,Walnut Hills 1738,2014-11-25,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,78073,Walnut Hills,1738
347, Norwood 1373,2014-11-25,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,78073, Norwood,1373
348,Glen Este 2206,2014-11-25,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,78072,Glen Este,2206
349, Wilmington 1598,2014-11-25,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,78072, Wilmington,1598
350,Milford 1967,2014-12-01,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,78075,Milford,1967
351, Anderson 1934,2014-12-01,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,78075, Anderson,1934
352,Turpin 1816,2014-12-01,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,78076,Turpin,1816
353, Withrow 1213,2014-12-01,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,78076, Withrow,1213
354,Loveland 2103,2014-12-02,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,80048,Loveland,2103
355, Kings 1691,2014-12-02,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,80048, Kings,1691
356,Glen Este 2343,2014-12-02,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,78077,Glen Este,2343
357, Walnut Hills 1454,2014-12-02,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,78077, Walnut Hills,1454
358,Glen Este 2220,2014-12-03,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,78079,Glen Este,2220
359, Walnut Hills 1675,2014-12-03,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,78079, Walnut Hills,1675
360,Turpin 1876,2014-12-03,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,78080,Turpin,1876
361, Withrow 1286,2014-12-03,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,78080, Withrow,1286
362,Milford 2050,2014-12-04,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,78081,Milford,2050
363, Anderson 1850,2014-12-04,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,78081, Anderson,1850
364,Loveland 2089,2014-12-04,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,81148,Loveland,2089
365, Kings 1732,2014-12-04,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,81148, Kings,1732
366,Winton Woods 1913,2014-12-04,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,78575,Winton Woods,1913
367, Withrow 1463,2014-12-04,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,78575, Withrow,1463
368,Anderson 1946,2014-12-08,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,79881,Anderson,1946
369, Kings 1834,2014-12-08,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,79881, Kings,1834
370,Glen Este 2486,2014-12-08,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,78083,Glen Este,2486
371, Amelia 1849,2014-12-08,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,78083, Amelia,1849
372,Goshen 1825,2014-12-08,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,78082,Goshen,1825
373, Turpin 1805,2014-12-08,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,78082, Turpin,1805
374,Loveland 1930,2014-12-08,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,78576,Loveland,1930
375, Withrow 1339,2014-12-08,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,78576, Withrow,1339
376,Anderson 2031,2014-12-09,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,79882,Anderson,2031
377, Kings 1762,2014-12-09,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,79882, Kings,1762
378,Turpin 1781,2014-12-09,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,78086,Turpin,1781
379, Walnut Hills 1556,2014-12-09,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,78086, Walnut Hills,1556
380,Glen Este 2359,2014-12-09,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,78085,Glen Este,2359
381, Milford 2048,2014-12-09,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,78085, Milford,2048
382,Lakota East 1990,2014-12-10,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,80050,Lakota East,1990
383, Kings 1747,2014-12-10,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,80050, Kings,1747
384,Glen Este 2032,2014-12-10,2014-2015,215,https://eccsports.com/,Eastern Cincinnati Conference,78088,Glen Este,2032
